Width,Length,Rim Angle,Focal Length,Parabola Height,Arc Length,Surface Area,Concentration Ratio,Aspect Ratio,Arc Angle,Parabola Coefficient
1.15,1.73913,72,0.39571,0.20888,1.24437,2.16413,1.08206,1.51229,1.25664,0.63178
1.35,1.48148,72,0.46453,0.24521,1.46079,2.16413,1.08206,1.09739,1.25664,0.53818
0.95,2.10526,72,0.32689,0.17255,1.02796,2.16413,1.08206,2.21607,1.25664,0.76478
1.2,1.66667,72,0.41291,0.21796,1.29848,2.16413,1.08206,1.38889,1.25664,0.60545
0.6,3.33333,72,0.20646,0.10898,0.64924,2.16413,1.08206,5.55556,1.25664,1.2109
1.3,1.53846,72,0.44732,0.23613,1.40668,2.16413,1.08206,1.18343,1.25664,0.55888
0.55,3.63636,72,0.18925,0.0999,0.59514,2.16413,1.08206,6.61157,1.25664,1.32099
0.65,3.07692,72,0.22366,0.11806,0.70334,2.16413,1.08206,4.73373,1.25664,1.11776
1,2,72,0.3441,0.18164,1.08206,2.16413,1.08206,2,1.25664,0.72654
1.05,1.90476,72,0.3613,0.19072,1.13617,2.16413,1.08206,1.81406,1.25664,0.69195
1.1,1.81818,72,0.37851,0.1998,1.19027,2.16413,1.08206,1.65289,1.25664,0.66049
1.5,1.33333,72,0.51614,0.27245,1.6231,2.16413,1.08206,0.88889,1.25664,0.48436
1.4,1.42857,72,0.48173,0.25429,1.51489,2.16413,1.08206,1.02041,1.25664,0.51896
0.5,4,72,0.17205,0.09082,0.54103,2.16413,1.08206,8,1.25664,1.45309
1.45,1.37931,72,0.49894,0.26337,1.56899,2.16413,1.08206,0.95125,1.25664,0.50106
0.85,2.35294,72,0.29248,0.15439,0.91975,2.16413,1.08206,2.76817,1.25664,0.85476
0.9,2.22222,71,0.31544,0.16049,0.97135,2.15855,1.07928,2.46914,1.23918,0.79255
1.35,1.48148,71,0.47316,0.24074,1.45702,2.15855,1.07928,1.09739,1.23918,0.52837
1.1,1.81818,71,0.38554,0.19616,1.1872,2.15855,1.07928,1.65289,1.23918,0.64845
0.95,2.10526,71,0.33296,0.16941,1.02531,2.15855,1.07928,2.21607,1.23918,0.75083
0.8,2.5,71,0.28039,0.14266,0.86342,2.15855,1.07928,3.125,1.23918,0.89162
1.05,1.90476,71,0.36801,0.18724,1.13324,2.15855,1.07928,1.81406,1.23918,0.67933
0.5,4,71,0.17524,0.08916,0.53964,2.15855,1.07928,8,1.23918,1.42659
1.25,1.6,71,0.43811,0.2229,1.34909,2.15855,1.07928,1.28,1.23918,0.57063
0.55,3.63636,71,0.19277,0.09808,0.5936,2.15855,1.07928,6.61157,1.23918,1.2969
1.15,1.73913,71,0.40306,0.20507,1.24117,2.15855,1.07928,1.51229,1.23918,0.62025
1,2,71,0.35049,0.17832,1.07928,2.15855,1.07928,2,1.23918,0.71329
1.2,1.66667,71,0.42058,0.21399,1.29513,2.15855,1.07928,1.38889,1.23918,0.59441
1.4,1.42857,71,0.49068,0.24965,1.51099,2.15855,1.07928,1.02041,1.23918,0.5095
0.85,2.35294,71,0.29791,0.15157,0.91738,2.15855,1.07928,2.76817,1.23918,0.83917
0.65,3.07692,71,0.22782,0.11591,0.70153,2.15855,1.07928,4.73373,1.23918,1.09737
0.7,2.85714,71,0.24534,0.12483,0.75549,2.15855,1.07928,4.08163,1.23918,1.01899
0.6,3.33333,71,0.21029,0.10699,0.64757,2.15855,1.07928,5.55556,1.23918,1.18882
1.45,1.37931,71,0.50821,0.25857,1.56495,2.15855,1.07928,0.95125,1.23918,0.49193
1.3,1.53846,71,0.45563,0.23182,1.40306,2.15855,1.07928,1.18343,1.23918,0.54869
0.75,2.66667,71,0.26287,0.13374,0.80946,2.15855,1.07928,3.55556,1.23918,0.95106
1.5,1.33333,71,0.52573,0.26748,1.61891,2.15855,1.07928,0.88889,1.23918,0.47553
1.15,1.73913,70,0.41059,0.20131,1.23805,2.15312,1.07656,1.51229,1.22173,0.60888
0.9,2.22222,70,0.32133,0.15755,0.9689,2.15312,1.07656,2.46914,1.22173,0.77801
1.4,1.42857,70,0.49985,0.24507,1.50719,2.15312,1.07656,1.02041,1.22173,0.50015
0.7,2.85714,70,0.24993,0.12254,0.75359,2.15312,1.07656,4.08163,1.22173,1.0003
0.8,2.5,70,0.28563,0.14004,0.86125,2.15312,1.07656,3.125,1.22173,0.87526
1.3,1.53846,70,0.46415,0.22757,1.39953,2.15312,1.07656,1.18343,1.22173,0.53862
1.25,1.6,70,0.4463,0.21881,1.3457,2.15312,1.07656,1.28,1.22173,0.56017
0.55,3.63636,70,0.19637,0.09628,0.59211,2.15312,1.07656,6.61157,1.22173,1.2731
0.75,2.66667,70,0.26778,0.13129,0.80742,2.15312,1.07656,3.55556,1.22173,0.93361
0.85,2.35294,70,0.30348,0.14879,0.91508,2.15312,1.07656,2.76817,1.22173,0.82377
1.45,1.37931,70,0.5177,0.25383,1.56101,2.15312,1.07656,0.95125,1.22173,0.4829
1.35,1.48148,70,0.482,0.23632,1.45336,2.15312,1.07656,1.09739,1.22173,0.51867
0.65,3.07692,70,0.23207,0.11378,0.69976,2.15312,1.07656,4.73373,1.22173,1.07724
1.2,1.66667,70,0.42844,0.21006,1.29187,2.15312,1.07656,1.38889,1.22173,0.58351
1,2,70,0.35704,0.17505,1.07656,2.15312,1.07656,2,1.22173,0.70021
1.05,1.90476,70,0.37489,0.1838,1.13039,2.15312,1.07656,1.81406,1.22173,0.66686
1.1,1.81818,70,0.39274,0.19256,1.18422,2.15312,1.07656,1.65289,1.22173,0.63655
0.5,4,70,0.17852,0.08753,0.53828,2.15312,1.07656,8,1.22173,1.40042
0.6,3.33333,70,0.21422,0.10503,0.64594,2.15312,1.07656,5.55556,1.22173,1.16701
1.5,1.33333,70,0.53556,0.26258,1.61484,2.15312,1.07656,0.88889,1.22173,0.46681
0.95,2.10526,70,0.33919,0.1663,1.02273,2.15312,1.07656,2.21607,1.22173,0.73706
